time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
14396,2459,2316.217391304348,100,257.4782608695652,0.8574796000000003,5,,,,,
29692,2474,2403.2916666666665,200,263.375,0.7060491999999995,12,,,,,
40000,,,,,0.6040395999999997,,2098.2,33.6,,,
43960,2254,2396.27397260274,300,258.90410958904107,0.5647960000000001,19,,,,,
59592,1439,2420.4646464646466,400,253.06060606060606,0.41003920000000027,41,,,599,0.0001,0.014654695987701416
78840,981,2634.44,500,252.0,0.2194839999999998,80,,,1802,0.0001,0.03517558053135872
80000,,,,,0.20803960000000055,,9219.0,16.8,1874,0.0001,0.006622771732509136
100012,757,2866.43,600,247.17,0.01,132,,,3125,0.0001,0.010540315881371498
118340,686,2997.8,700,247.59,0.01,172,,,4271,0.0001,0.012352813966572285
120000,,,,,0.01,,2205.0,336.0,4374,0.0001,0.024171646684408188
134880,620,3080.87,800,253.47,0.01,217,,,5304,0.0001,0.011151150800287724
150636,593,2897.91,900,246.75,0.01,253,,,6289,0.0001,0.017106231302022934
160000,,,,,0.01,,2766.4,373.8,6874,0.0001,0.025216706097126007
168288,566,2794.63,1000,251.79,0.01,296,,,7392,0.0001,0.008842460811138153
188680,532,2882.72,1100,264.18,0.01,354,,,8667,0.0001,0.0076726810075342655
200000,,,,,0.01,,9632.4,205.8,9374,0.0001,0.023991651833057404
209192,484,3007.56,1200,276.15,0.01,431,,,9949,0.0001,0.05923428013920784
228628,469,3205.09,1300,302.61,0.01,486,,,11164,0.0001,0.08331236243247986
240000,,,,,0.01,,3246.2,294.0,11874,0.0001,0.029479825869202614
255436,437,3437.18,1400,313.32,0.01,583,,,12839,0.0001,0.009586924687027931
280000,,,,,0.01,,5683.0,546.0,14374,0.0001,0.008557086810469627
283776,415,3804.63,1500,328.86,0.01,682,,,14610,0.0001,0.02972288429737091
320000,,,,,0.01,,6923.8,462.0,16874,0.0001,0.0067720008082687855
334536,403,5013.32,1600,381.32,0.01,828,,,17783,0.0001,0.0055153509601950645
360000,,,,,0.01,,8254.6,327.6,19374,0.0001,0.009143093600869179
376144,390,5852.05,1700,428.55,0.01,963,,,20383,0.0001,0.07560078054666519
400000,,,,,0.01,,10063.4,29.4,21874,0.0001,0.006387964356690645
410720,384,6358.3,1800,476.49,0.01,1068,,,22544,0.0001,0.0247384961694479
440000,,,,,0.01,,6647.4,594.0,24374,0.0001,0.03358395770192146
446060,383,6483.02,1900,517.11,0.01,1161,,,24753,0.0001,0.008588188327848911
480000,,,,,0.01,,8867.6,593.4,26874,0.0001,0.016788845881819725
483964,382,6049.11,2000,537.98,0.01,1264,,,27122,0.0001,0.10487411916255951
519452,383,5869.07,2100,538.29,0.01,1355,,,29340,0.0001,0.013518880121409893
520000,,,,,0.01,,2482.4,394.8,29374,0.0001,0.016719946637749672
560000,,,,,0.01,,4771.2,638.2,31874,0.0001,0.004850225057452917
562068,370,6045.73,2200,546.94,0.01,1515,,,32004,0.0001,0.017236966639757156
597988,367,6187.96,2300,566.2,0.01,1625,,,34249,0.0001,0.02907155267894268
600000,,,,,0.01,,9094.2,306.6,34374,0.0001,0.005447903648018837
632724,367,6033.26,2400,578.87,0.01,1721,,,36420,0.0001,0.018571775406599045
640000,,,,,0.01,,4529.6,694.6,36874,0.0001,0.1278848797082901
662440,357,5809.22,2500,588.01,0.01,1851,,,38277,0.0001,0.02790752425789833
680000,,,,,0.01,,2206.8,336.0,39374,0.0001,0.041154153645038605
694496,342,5426.49,2600,574.25,0.01,2028,,,40280,0.0001,0.019062964245676994
720000,,,,,0.01,,2637.6,277.2,41874,0.0001,0.007569281384348869
723160,329,5111.17,2700,543.35,0.01,2196,,,42072,0.0001,0.021411962807178497
747376,314,4693.27,2800,502.81,0.01,2372,,,43585,0.0001,0.011911087669432163
760000,,,,,0.01,,9772.4,649.0,44374,0.0001,0.006218006368726492
772256,305,4435.44,2900,489.67,0.01,2523,,,45140,0.0001,0.022701432928442955
800000,,,,,0.01,,5187.4,692.4,46874,0.0001,0.009525399655103683
803472,306,4340.83,3000,524.49,0.01,2620,,,47091,0.0001,0.09786953777074814
830484,308,4328.44,3100,543.06,0.01,2689,,,48780,0.0001,0.0062688193283975124
840000,,,,,0.01,,4294.4,659.4,49374,0.0001,0.021651871502399445
861940,309,4593.7,3200,581.24,0.01,2782,,,50746,0.0001,0.034696660935878754
880000,,,,,0.01,,3849.8,625.8,51874,0.0001,0.011861855164170265
887088,311,4667.42,3300,590.49,0.01,2850,,,52317,0.0001,0.0069015659391880035
917252,312,4660.78,3400,593.54,0.01,2934,,,54203,0.0001,0.006814238149672747
920000,,,,,0.01,,4642.4,693.0,54374,0.0001,0.02211579494178295
942124,314,4522.91,3500,587.25,0.01,2994,,,55757,0.0001,0.09069797396659851
960000,,,,,0.01,,3900.8,653.0,56874,0.0001,0.0076744165271520615
968444,316,4353.97,3600,588.94,0.01,3059,,,57402,0.0001,0.009991748258471489
993012,318,4267.48,3700,595.15,0.01,3114,,,58938,0.0001,0.009794426150619984
1000000,,,,,0.01,,4161.6,577.4,59374,0.0001,0.036064647138118744
