rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
0.7149591999999996,257.4782608695652,14396,20,100,2316.217391304348,686,,,,,
0.4120984000000001,263.375,29692,37,200,2403.2916666666665,786,,,,,
0.20807920000000046,,40000,,,,,33.6,2098.2,,,
0.12959200000000004,258.90410958904107,43960,62,300,2396.27397260274,705,,,,,
0.01,249.42857142857142,70192,184,400,2790.4285714285716,380,,,1261,0.0001,0.011343203485012054
0.01,,80000,,,,,25.2,17078.2,1874,0.0001,0.0037038708105683327
0.01,252.84,100260,454,500,3477.3,220,,,3141,0.0001,0.041577454656362534
0.01,248.43,116984,566,600,3556.11,206,,,4186,0.0001,0.00869471300393343
0.01,,120000,,,,,126.0,2367.4,4374,0.0001,0.016644366085529327
0.01,254.31,133824,700,700,3643.95,191,,,5238,0.0001,0.007507229223847389
0.01,268.8,149364,820,800,3293.97,181,,,6210,0.0001,0.0038400785997509956
0.01,,160000,,,,,315.0,1958.8,6874,0.0001,0.012605132535099983
0.01,268.8,166828,935,900,2731.18,178,,,7301,0.0001,0.10662958025932312
0.01,275.94,185056,1055,1000,2770.44,175,,,8440,0.0001,0.012036820873618126
0.01,,200000,,,,,138.6,2177.2,9374,0.0001,0.09826735407114029
0.01,276.99,202036,1176,1100,2780.75,171,,,9502,0.0001,0.0339527353644371
0.01,283.08,219148,1278,1200,2835.11,171,,,10571,0.0001,0.02304118685424328
0.01,,240000,,,,,155.4,4393.8,11874,0.0001,0.056837018579244614
0.01,303.03,242132,1455,1300,3070.56,166,,,12008,0.0001,0.03996361047029495
0.01,317.1,264052,1635,1400,3192.82,161,,,13378,0.0001,0.05898427218198776
0.01,,280000,,,,,424.2,12934.6,14374,0.0001,0.009356170892715454
0.01,343.56,291084,1903,1500,3601.13,152,,,15067,0.0001,0.0810936838388443
0.01,364.55,318976,2140,1600,4065.76,149,,,16810,0.0001,0.03395843878388405
0.01,,320000,,,,,441.0,3659.8,16874,0.0001,0.007826797664165497
0.01,396.65,353924,2402,1700,4466.97,147,,,18995,0.0001,0.010972806252539158
0.01,,360000,,,,,625.2,6229.0,19374,0.0001,0.010807187296450138
0.01,446.9,391176,2690,1800,5138.2,145,,,21323,0.0001,0.016129322350025177
0.01,,400000,,,,,621.4,6381.0,21874,0.0001,0.009085736237466335
0.01,497.46,430164,2981,1900,5539.05,144,,,23760,0.0001,0.014063017442822456
0.01,,440000,,,,,701.4,4282.6,24374,0.0001,0.016397548839449883
0.01,554.85,465160,3264,2000,5855.18,142,,,25947,0.0001,0.003342932090163231
0.01,,480000,,,,,546.0,3409.6,26874,0.0001,0.010142189450562
0.01,573.88,493252,3474,2100,5671.1,141,,,27703,0.0001,0.012842982076108456
