time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/loss,train/learning_rate,train/n_updates
14396,0.7149591999999996,2316.217391304348,704,20,100,257.4782608695652,,,,,
29692,0.4120984000000001,2403.2916666666665,758,39,200,263.375,,,,,
40000,0.20807920000000046,,,,,,2098.2,33.6,,,
43960,0.12959200000000004,2396.27397260274,635,69,300,258.90410958904107,,,,,
69208,0.01,2785.6530612244896,337,205,400,249.21428571428572,,,0.0003904259065166116,7.5e-05,1200
80000,0.01,,,,,,9526.2,29.4,0.0027645882219076157,7.5e-05,1874
101020,0.01,3482.3,213,473,500,242.34,,,0.0029925142880529165,7.5e-05,3188
119456,0.01,3622.86,200,594,600,231.84,,,0.05130090191960335,7.5e-05,4340
120000,0.01,,,,,,7273.4,29.4,0.008826079778373241,7.5e-05,4374
140248,0.01,3881.89,183,764,700,238.77,,,0.006155318580567837,7.5e-05,5640
156208,0.01,3565.36,177,878,800,257.88,,,0.00829221773892641,7.5e-05,6637
160000,0.01,,,,,,1924.8,310.8,0.0035461364313960075,7.5e-05,6874
172056,0.01,2905.46,173,994,900,267.75,,,0.055116958916187286,7.5e-05,7628
189224,0.01,2850.39,170,1112,1000,278.46,,,0.0693054348230362,7.5e-05,8701
200000,0.01,,,,,,3164.4,294.0,0.009318897500634193,7.5e-05,9374
206888,0.01,2746.13,166,1245,1100,285.39,,,0.06164691597223282,7.5e-05,9805
221924,0.01,2699.25,164,1349,1200,273.21,,,0.02739664725959301,7.5e-05,10745
238708,0.01,2741.37,160,1490,1300,274.05,,,0.036930255591869354,7.5e-05,11794
240000,0.01,,,,,,2411.8,46.2,0.008974406868219376,7.5e-05,11874
256084,0.01,2745.79,153,1664,1400,284.34,,,0.12245683372020721,7.5e-05,12880
279788,0.01,2948.75,145,1925,1500,291.48,,,0.04604433476924896,7.5e-05,14361
280000,0.01,,,,,,5509.4,134.4,0.009805767796933651,7.5e-05,14374
305504,0.01,3366.05,138,2212,1600,314.37,,,0.0119456322863698,7.5e-05,15968
320000,0.01,,,,,,23365.0,537.6,0.011902757920324802,7.5e-05,16874
333188,0.01,3815.41,116,2871,1700,341.04,,,0.016704414039850235,7.5e-05,17699
360000,0.01,,,,,,9525.0,205.8,0.04551970586180687,7.5e-05,19374
373968,0.01,4594.86,106,3508,1800,377.56,,,0.03381522744894028,7.5e-05,20247
400000,0.01,,,,,,23349.8,33.6,0.017207026481628418,7.5e-05,21874
419424,0.01,5501.99,100,4189,1900,419.11,,,0.05632926523685455,7.5e-05,23088
440000,0.01,,,,,,6028.6,420.0,0.01634511910378933,7.5e-05,24374
463764,0.01,6366.2,98,4720,2000,481.63,,,0.07682248950004578,7.5e-05,25860
480000,0.01,,,,,,5685.6,682.4,0.004175845999270678,7.5e-05,26874
498748,0.01,6594.14,97,5092,2100,509.55,,,0.009923340752720833,7.5e-05,28046
