rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/n_updates
0.7149591999999996,28,2316.217391304348,508,14396,100,257.4782608695652,,,,,
0.4120984000000001,55,2403.2916666666665,533,29692,200,263.375,,,,,
0.20807920000000046,,,,40000,,,2098.2,33.6,,,
0.12959200000000004,97,2396.27397260274,453,43960,300,258.90410958904107,,,,,
0.01,296,2617.714285714286,226,67092,400,245.35714285714286,,,0.00025,0.000522940419614315,1068
0.01,,,,80000,,,2434.6,411.6,0.00025,0.0030872318893671036,1874
0.01,554,3240.2,170,94748,500,252.21,,,0.00025,0.02475903369486332,2796
0.01,744,3384.48,151,112888,600,251.37,,,0.00025,0.011901652440428734,3930
0.01,,,,120000,,,11881.4,29.4,0.00025,0.009416971355676651,4374
0.01,984,3457.03,132,130188,700,258.51,,,0.00025,0.015011096373200417,5011
0.01,1156,3364.9,127,147112,800,287.91,,,0.00025,0.02199712023139,6069
0.01,,,,160000,,,2596.8,42.0,0.00025,0.007632545195519924,6874
0.01,1365,2823.26,119,163160,900,297.36,,,0.00025,0.020483562722802162,7072
0.01,1573,2850.49,116,183416,1000,329.7,,,0.00025,0.032695379108190536,8338
0.01,,,,200000,,,8297.2,92.4,0.00025,0.03366098925471306,9374
0.01,1869,3886.51,122,228184,1100,375.89,,,0.00025,0.02347332052886486,11136
0.01,,,,240000,,,7329.0,659.0,0.00025,0.01785193756222725,11874
0.01,2142,4852.37,126,270064,1200,430.14,,,0.00025,0.015104015357792377,13753
0.01,,,,280000,,,7611.8,548.0,0.00025,0.015043460763990879,14374
0.01,,,,320000,,,6343.0,692.4,0.00025,0.02551991306245327,16874
0.01,2493,6259.62,128,320724,1300,491.41,,,0.00025,0.058556489646434784,16920
0.01,,,,360000,,,4786.6,646.8,0.00025,0.01729864813387394,19374
0.01,2776,7287.22,131,365860,1400,527.2,,,0.00025,0.05783810466527939,19741
0.01,,,,400000,,,4822.2,126.0,0.00025,0.03126727044582367,21874
0.01,3050,7040.93,131,402184,1500,542.52,,,0.00025,0.017205694690346718,22011
0.01,3253,6491.04,131,429296,1600,514.94,,,0.00025,0.010191621258854866,23705
0.01,,,,440000,,,17231.4,42.0,0.00025,0.011846901848912239,24374
0.01,3650,5965.8,128,470620,1700,516.3,,,0.00025,0.004366473760455847,26288
0.01,,,,480000,,,12290.8,58.8,0.00025,0.021332867443561554,26874
