rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/loss,train/learning_rate,train/n_updates
2316.217391304348,0.7149591999999996,100,910,257.4782608695652,15,14396,,,,,
2403.2916666666665,0.4120984000000001,200,912,263.375,32,29692,,,,,
,0.20807920000000046,,,,,40000,2098.2,33.6,,,
2396.27397260274,0.12959200000000004,300,758,258.90410958904107,57,43960,,,,,
2993.183673469388,0.01,400,402,255.42857142857142,194,78176,,,0.03908205404877663,0.0001,1760
,0.01,,,,,80000,8041.4,25.2,0.0008293831488117576,0.0001,1874
3957.0,0.01,500,282,267.12,396,112220,,,0.002242205198854208,0.0001,3888
,0.01,,,,,120000,2175.4,21.0,0.0011592800728976727,0.0001,4374
4164.5,0.01,600,260,267.96,508,132296,,,0.0034400131553411484,0.0001,5143
4268.69,0.01,700,250,278.46,595,148996,,,0.002493935404345393,0.0001,6187
,0.01,,,,,160000,1824.4,37.8,0.006194346584379673,0.0001,6874
3790.69,0.01,800,240,284.13,694,166860,,,0.004393143113702536,0.0001,7303
3085.11,0.01,900,235,274.68,798,187720,,,0.02707679197192192,0.0001,8607
,0.01,,,,,200000,6301.2,294.0,0.003583325305953622,0.0001,9374
3029.14,0.01,1000,224,280.56,918,206404,,,0.0053081209771335125,0.0001,9775
3171.4,0.01,1100,222,273.84,1024,228008,,,0.05399094894528389,0.0001,11125
,0.01,,,,,240000,3858.2,25.2,0.0076925987377762794,0.0001,11874
3292.23,0.01,1200,206,272.37,1203,248288,,,0.016116546466946602,0.0001,12392
3241.72,0.01,1300,182,275.73,1463,267324,,,0.02773880399763584,0.0001,13582
,0.01,,,,,280000,2524.2,390.6,0.08063609153032303,0.0001,14374
3393.3,0.01,1400,155,275.52,1871,291080,,,0.031711410731077194,0.0001,15067
3416.11,0.01,1500,142,280.77,2180,311308,,,0.019780626520514488,0.0001,16331
,0.01,,,,,320000,3400.2,390.6,0.10983043909072876,0.0001,16874
3378.36,0.01,1600,132,274.47,2494,330292,,,0.033541783690452576,0.0001,17518
3342.99,0.01,1700,126,252.21,2773,349580,,,0.016428155824542046,0.0001,18723
,0.01,,,,,360000,2362.2,310.8,0.010321354493498802,0.0001,19374
3381.37,0.01,1800,121,264.18,3092,374420,,,0.01764124445617199,0.0001,20276
3529.8,0.01,1900,117,274.05,3380,397444,,,0.0631987676024437,0.0001,21715
,0.01,,,,,400000,2981.4,407.4,0.01063254103064537,0.0001,21874
3658.88,0.01,2000,117,289.38,3599,422308,,,0.03661062940955162,0.0001,23269
,0.01,,,,,440000,2833.8,58.8,0.01918734237551689,0.0001,24374
3990.75,0.01,2100,118,316.26,3780,448604,,,0.03676427900791168,0.0001,24912
4157.48,0.01,2200,120,317.1,3942,475724,,,0.010689833201467991,0.0001,26607
,0.01,,,,,480000,1906.4,235.2,0.005493839271366596,0.0001,26874
4090.47,0.01,2300,121,313.95,4100,499260,,,0.015226309187710285,0.0001,28078
