time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/n_updates
17,257.4782608695652,14396,0.7149591999999996,100,2316.217391304348,831,,,,,
41,263.375,29692,0.4120984000000001,200,2403.2916666666665,714,,,,,
,,40000,0.20807920000000046,,,,2098.2,33.6,,,
82,258.90410958904107,43960,0.12959200000000004,300,2396.27397260274,533,,,,,
271,245.21212121212122,70500,0.01,400,2739.787878787879,259,,,0.00025,0.0005223449552431703,1281
,,80000,0.01,,,,9526.2,29.4,0.00025,0.0004381484759505838,1874
638,243.6,105620,0.01,500,3680.9,165,,,0.00025,0.004115566145628691,3476
,,120000,0.01,,,,2258.6,373.8,0.00025,0.008397707715630531,4374
842,232.26,127028,0.01,600,3921.93,150,,,0.00025,0.004437927156686783,4814
1019,233.52,146396,0.01,700,4061.57,143,,,0.00025,0.008709009736776352,6024
,,160000,0.01,,,,4194.0,319.2,0.00025,0.00567787978798151,6874
1232,262.08,165764,0.01,800,4028.87,134,,,0.00025,0.005336156114935875,7235
1445,283.08,187332,0.01,900,3349.02,129,,,0.00025,0.04642222076654434,8583
,,200000,0.01,,,,5174.0,54.6,0.00025,0.004756095819175243,9374
1725,303.87,209444,0.01,1000,3354.85,121,,,0.00025,0.02712068520486355,9965
1979,325.08,235676,0.01,1100,3697.25,119,,,0.00025,0.006116844713687897,11604
,,240000,0.01,,,,6239.4,37.8,0.00025,0.026838455349206924,11874
2292,334.74,273740,0.01,1200,4269.92,119,,,0.00025,0.011412305757403374,13983
,,280000,0.01,,,,8451.0,37.8,0.00025,0.02586202137172222,14374
,,320000,0.01,,,,5737.0,29.4,0.00025,0.04189598560333252,16874
2660,360.56,321924,0.01,1300,5294.75,121,,,0.00025,0.011746769770979881,16995
,,360000,0.01,,,,13417.0,46.2,0.00025,0.004427892621606588,19374
3161,393.95,366044,0.01,1400,6211.45,115,,,0.00025,0.009829833172261715,19752
,,400000,0.01,,,,16796.2,25.2,0.00025,0.0038865795359015465,21874
3955,427.13,409172,0.01,1500,6988.61,103,,,0.00025,0.004504147917032242,22448
,,440000,0.01,,,,5415.4,646.6,0.00025,0.0920456200838089,24374
4751,457.67,451056,0.01,1600,7204.54,94,,,0.00025,0.03559203818440437,25065
,,480000,0.01,,,,12342.0,33.6,0.00025,0.01958271488547325,26874
5330,465.76,487516,0.01,1700,6832.65,91,,,0.00025,0.020984025672078133,27344
