rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/exploration_rate,time/episodes,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/loss,train/n_updates
2316.217391304348,257.4782608695652,35,402,14396,0.7149591999999996,100,,,,,
2403.2916666666665,263.375,79,373,29692,0.4120984000000001,200,,,,,
,,,,40000,0.20807920000000046,,33.6,2098.2,,,
2396.27397260274,258.90410958904107,121,361,43960,0.12959200000000004,300,,,,,
2813.4343434343436,256.24242424242425,447,158,71120,0.01,400,,,7.5e-05,0.007678056135773659,1319
,,,,80000,0.01,,25.2,4943.8,7.5e-05,0.0025367294438183308,1874
3428.08,271.53,793,124,98636,0.01,500,,,7.5e-05,0.006952235475182533,3039
3504.4,276.99,1164,99,115524,0.01,600,,,7.5e-05,0.004472842440009117,4095
,,,,120000,0.01,,193.2,1983.4,7.5e-05,0.032821252942085266,4374
3522.78,274.47,1343,97,130392,0.01,700,,,7.5e-05,0.014568829908967018,5024
3180.51,286.02,1503,98,147516,0.01,800,,,7.5e-05,0.004830806516110897,6094
,,,,160000,0.01,,432.6,4536.0,7.5e-05,0.0294303297996521,6874
2579.1,279.3,1636,98,160876,0.01,900,,,7.5e-05,0.021855898201465607,6929
2574.95,285.18,1793,99,178728,0.01,1000,,,7.5e-05,0.024192355573177338,8045
2684.78,313.74,1944,101,196388,0.01,1100,,,7.5e-05,0.04804292693734169,9149
,,,,200000,0.01,,121.8,2345.6,7.5e-05,0.028234921395778656,9374
2802.37,332.22,2130,101,216572,0.01,1200,,,7.5e-05,0.030953068286180496,10410
,,,,240000,0.01,,572.8,5930.2,7.5e-05,0.028162144124507904,11874
3201.45,363.51,2372,102,242064,0.01,1300,,,7.5e-05,0.017656276002526283,12003
4046.41,418.51,2689,103,279544,0.01,1400,,,7.5e-05,0.027370821684598923,14346
,,,,280000,0.01,,556.2,5654.2,7.5e-05,0.05267371982336044,14374
4516.64,454.26,2988,103,309576,0.01,1500,,,7.5e-05,0.013205554336309433,16223
,,,,320000,0.01,,709.4,5214.2,7.5e-05,0.0070673697628080845,16874
4864.07,479.66,3271,103,337972,0.01,1600,,,7.5e-05,0.03513136878609657,17998
,,,,360000,0.01,,386.4,3225.4,7.5e-05,0.014565970748662949,19374
4938.43,501.47,3527,102,362984,0.01,1700,,,7.5e-05,0.04225728288292885,19561
4396.53,495.28,3767,102,387268,0.01,1800,,,7.5e-05,0.012878220528364182,21079
,,,,400000,0.01,,529.2,3314.6,7.5e-05,0.011435480788350105,21874
4131.9,498.98,4022,102,411332,0.01,1900,,,7.5e-05,0.012481689453125,22583
4066.56,530.35,4264,102,437608,0.01,2000,,,7.5e-05,0.008612033911049366,24225
,,,,440000,0.01,,512.4,3443.4,7.5e-05,0.03296965733170509,24374
4034.9,549.58,4501,102,462128,0.01,2100,,,7.5e-05,0.013990538194775581,25757
,,,,480000,0.01,,633.8,4244.4,7.5e-05,0.006774719804525375,26874
4098.29,569.41,4777,102,489072,0.01,2200,,,7.5e-05,0.007423399947583675,27441
