rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/loss,train/n_updates
2316.217391304348,17,14396,100,811,0.7149591999999996,257.4782608695652,,,,,
2403.2916666666665,35,29692,200,830,0.4120984000000001,263.375,,,,,
,,40000,,,0.20807920000000046,,33.6,2098.2,,,
2396.27397260274,63,43960,300,695,0.12959200000000004,258.90410958904107,,,,,
2861.717171717172,222,72608,400,326,0.01,251.57575757575756,,,0.0001,0.020196974277496338,1412
,,80000,,,0.01,,33.6,9347.0,0.0001,0.008011541329324245,1874
3469.94,453,101040,500,222,0.01,258.3,,,0.0001,0.03238019719719887,3189
,,120000,,,0.01,,289.8,2197.8,0.0001,0.0028089447878301144,4374
3663.68,595,120152,600,201,0.01,271.11,,,0.0001,0.018123190850019455,4384
3784.19,711,137272,700,193,0.01,285.81,,,0.0001,0.005076701287180185,5454
3361.0,821,152640,800,185,0.01,302.4,,,0.0001,0.013851908035576344,6414
,,160000,,,0.01,,210.0,1847.2,0.0001,0.020556695759296417,6874
2814.09,928,168916,900,181,0.01,319.62,,,0.0001,0.004079847596585751,7432
2634.25,1026,184012,1000,179,0.01,326.34,,,0.0001,0.005433162674307823,8375
2551.24,1125,199464,1100,177,0.01,338.31,,,0.0001,0.003777578007429838,9341
,,200000,,,0.01,,357.0,2119.2,0.0001,0.02278902195394039,9374
2562.63,1238,215352,1200,173,0.01,349.23,,,0.0001,0.003430797951295972,10334
2584.71,1350,232684,1300,172,0.01,365.19,,,0.0001,0.0013625919818878174,11417
,,240000,,,0.01,,390.6,2165.8,0.0001,0.05075936019420624,11874
2657.71,1472,249688,1400,169,0.01,372.96,,,0.0001,0.0025256299413740635,12480
2735.83,1580,266016,1500,168,0.01,388.92,,,0.0001,0.02442493662238121,13500
,,280000,,,0.01,,382.2,2367.4,0.0001,0.035152316093444824,14374
2762.3,1706,282856,1600,165,0.01,399.0,,,0.0001,0.025431890040636063,14553
2697.93,1810,298204,1700,164,0.01,384.3,,,0.0001,0.018241139128804207,15512
2598.62,1905,312464,1800,163,0.01,382.83,,,0.0001,0.005087899509817362,16403
,,320000,,,0.01,,336.0,2059.8,0.0001,0.012634212151169777,16874
2539.61,2030,329456,1900,162,0.01,375.27,,,0.0001,0.014177967794239521,17465
2684.27,2157,348532,2000,161,0.01,392.28,,,0.0001,0.005934545770287514,18658
,,360000,,,0.01,,205.8,2114.2,0.0001,0.010554070584475994,19374
2727.83,2278,365220,2100,160,0.01,407.08,,,0.0001,0.020595580339431763,19701
2797.84,2383,381044,2200,159,0.01,415.06,,,0.0001,0.010963057167828083,20690
2826.04,2495,397656,2300,159,0.01,425.77,,,0.0001,0.008997243829071522,21728
,,400000,,,0.01,,470.4,2527.0,0.0001,0.0034844400361180305,21874
2688.06,2618,414116,2400,158,0.01,411.91,,,0.0001,0.007618315983563662,22757
2646.64,2759,429756,2500,155,0.01,408.24,,,0.0001,0.03040708228945732,23734
,,440000,,,0.01,,403.2,3128.6,0.0001,0.010310214944183826,24374
2719.91,2984,447708,2600,149,0.01,415.48,,,0.0001,0.004875664133578539,24856
2742.93,3105,464824,2700,149,0.01,414.01,,,0.0001,0.029264526441693306,25926
,,480000,,,0.01,,420.0,3077.6,0.0001,0.010435231029987335,26874
2730.6,3243,481084,2800,148,0.01,418.84,,,0.0001,0.01053306832909584,26942
2726.82,3359,496328,2900,147,0.01,409.81,,,0.0001,0.004094126634299755,27895
