rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/loss,train/n_updates
2316.217391304348,695,100,257.4782608695652,20,0.8574795999999998,14396,,,,,
2403.2916666666665,693,200,263.375,42,0.7060492,29692,,,,,
,,,,,0.6040396000000002,40000,33.6,2098.2,,,
2396.27397260274,611,300,258.90410958904107,71,0.5647960000000001,43960,,,,,
2431.161616161616,407,400,252.42424242424244,148,0.4028320000000002,60320,,,0.0001,0.000946375890634954,644
2635.08,264,500,249.48,298,0.2182168000000002,78968,,,0.0001,0.004473191685974598,1810
,,,,,0.2080396,80000,21.0,10499.0,0.0001,0.019874325022101402,1874
2833.03,188,600,238.14,525,0.017088400000000115,99284,,,0.0001,0.03521735593676567,3080
2955.12,177,700,241.29,660,0.01,117308,,,0.0001,0.017326975241303444,4206
,,,,,0.01,120000,37.8,14927.8,0.0001,0.007317223586142063,4374
3024.58,157,800,250.11,848,0.01,133576,,,0.0001,0.019343147054314613,5223
2907.66,156,900,245.7,960,0.01,149952,,,0.0001,0.03832528367638588,6246
,,,,,0.01,160000,134.4,4422.4,0.0001,0.0609884038567543,6874
2817.39,152,1000,250.32,1102,0.01,168164,,,0.0001,0.01411631889641285,7385
3053.02,152,1100,269.22,1258,0.01,191500,,,0.0001,0.11545078456401825,8843
,,,,,0.01,200000,268.8,2568.8,0.0001,0.003613051725551486,9374
3247.89,150,1200,283.71,1418,0.01,213916,,,0.0001,0.0103495754301548,10244
3466.28,150,1300,310.48,1572,0.01,237104,,,0.0001,0.010159740224480629,11693
,,,,,0.01,240000,92.4,6735.8,0.0001,0.09600876271724701,11874
3906.23,139,1400,351.11,1925,0.01,267820,,,0.0001,0.010972722433507442,13613
,,,,,0.01,280000,466.2,22561.8,0.0001,0.026954129338264465,14374
4573.26,134,1500,397.38,2269,0.01,305896,,,0.0001,0.011167974211275578,15993
,,,,,0.01,320000,625.6,6532.2,0.0001,0.014182322658598423,16874
5274.07,135,1600,439.35,2550,0.01,345680,,,0.0001,0.06859888136386871,18479
,,,,,0.01,360000,567.0,6453.4,0.0001,0.003944013267755508,19374
5712.26,136,1700,466.82,2782,0.01,379348,,,0.0001,0.008908616378903389,20584
,,,,,0.01,400000,709.8,5472.6,0.0001,0.03466759994626045,21874
5918.56,136,1800,505.22,3002,0.01,411072,,,0.0001,0.07669591903686523,22566
,,,,,0.01,440000,520.4,6534.6,0.0001,0.011033647693693638,24374
5721.41,137,1900,516.12,3247,0.01,446812,,,0.0001,0.008081747218966484,24800
,,,,,0.01,480000,562.8,5007.6,0.0001,0.013868648558855057,26874
5486.92,137,2000,534.3,3503,0.01,482032,,,0.0001,0.012329600751399994,27001
