time/fps,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/loss,train/n_updates,train/learning_rate
239,60,0.7408719999999996,100,257.4782608695652,2316.217391304348,14396,,,,,
236,125,0.46554400000000007,200,263.375,2403.2916666666665,29692,,,,,
,,0.28007200000000054,,,,40000,33.6,2098.2,,,
201,218,0.20872000000000002,300,258.90410958904107,2396.27397260274,43960,,,,,
114,589,0.1,400,258.64285714285717,2716.0102040816328,67368,,,0.015547838993370533,1085,0.0001
,,0.1,,,,80000,29.4,17846.2,0.0017557706451043487,1874,0.0001
79,1179,0.1,500,262.71,3229.58,94292,,,0.002390538575127721,2768,0.0001
86,1286,0.1,600,254.73,3328.91,111576,,,0.016291264444589615,3848,0.0001
,,0.1,,,,120000,58.8,9039.8,0.0061357757076621056,4374,0.0001
89,1429,0.1,700,262.5,3392.81,127360,,,0.01130056194961071,4834,0.0001
93,1523,0.1,800,257.88,3081.91,142024,,,0.02362441085278988,5751,0.0001
97,1633,0.1,900,270.48,2669.06,159048,,,0.006060438230633736,6815,0.0001
,,0.1,,,,160000,260.4,28005.6,0.02342785708606243,6874,0.0001
94,1881,0.1,1000,285.81,2687.06,177204,,,0.01723012514412403,7950,0.0001
97,1994,0.1,1100,290.43,2706.2,194840,,,0.027918893843889236,9052,0.0001
,,0.1,,,,200000,306.6,2092.0,0.022819608449935913,9374,0.0001
101,2127,0.1,1200,300.51,2923.08,214964,,,0.01264013908803463,10310,0.0001
,,0.1,,,,240000,193.2,2741.4,0.017165599390864372,11874,0.0001
103,2334,0.1,1300,308.7,3307.65,241988,,,0.010654095560312271,11999,0.0001
103,2623,0.1,1400,325.6,3840.01,272528,,,0.019889989867806435,13907,0.0001
,,0.1,,,,280000,552.2,11537.0,0.020772865042090416,14374,0.0001
102,3049,0.1,1500,348.38,4659.85,311788,,,0.01382606104016304,16361,0.0001
,,0.1,,,,320000,256.2,16181.0,0.027597837150096893,16874,0.0001
101,3383,0.1,1600,386.28,5262.94,344416,,,0.010243447497487068,18400,0.0001
,,0.1,,,,360000,428.4,3013.4,0.012916604056954384,19374,0.0001
103,3577,0.1,1700,407.69,5324.24,371872,,,0.015518814325332642,20116,0.0001
,,0.1,,,,400000,302.4,2277.4,0.012718869373202324,21874,0.0001
106,3813,0.1,1800,433.1,5396.12,407576,,,0.12413288652896881,22348,0.0001
,,0.1,,,,440000,508.2,5211.8,0.025167737156152725,24374,0.0001
109,4111,0.1,1900,474.77,5566.07,450204,,,0.009328469634056091,25012,0.0001
111,4285,0.1,2000,475.39,5350.28,477652,,,0.01521933265030384,26728,0.0001
,,0.1,,,,480000,100.8,10831.6,0.004993241745978594,26874,0.0001
