time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/time_elapsed,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
100,2316.217391304348,257.4782608695652,0.8176506666666664,784,18,14396,,,,,
200,2403.2916666666665,263.375,0.6239013333333334,811,36,29692,,,,,
,,,0.4933840000000004,,,40000,2098.2,33.6,,,
300,2396.27397260274,258.90410958904107,0.4431733333333333,696,63,43960,,,,,
400,2494.295918367347,261.64285714285717,0.22018933333333324,316,194,61564,,,722,0.00025,0.0036827162839472294
,,,0.05,,,80000,7040.6,495.6,1874,0.00025,0.0066546108573675156
500,2727.16,263.76,0.05,189,430,81488,,,1967,0.00025,0.004835896659642458
600,2751.07,269.22,0.05,165,585,96684,,,2917,0.00025,0.017310433089733124
700,2768.24,275.31,0.05,143,780,112152,,,3884,0.00025,0.011975872330367565
,,,0.05,,,120000,5021.8,604.6,4374,0.00025,0.04018133506178856
800,2683.01,284.55,0.05,129,984,127424,,,4838,0.00025,0.01216757670044899
900,2754.36,311.85,0.05,119,1239,148436,,,6152,0.00025,0.009530455805361271
,,,0.05,,,160000,9047.2,669.8,6874,0.00025,0.023184265941381454
1000,3720.54,379.54,0.05,110,1718,189472,,,8716,0.00025,0.023746857419610023
,,,0.05,,,200000,5659.6,525.0,9374,0.00025,0.014875886961817741
1100,4870.11,449.6,0.05,93,2501,233172,,,11448,0.00025,0.01663261651992798
,,,0.05,,,240000,4662.2,33.6,11874,0.00025,0.010040177032351494
1200,5540.69,505.54,0.05,93,2851,267924,,,13620,0.00025,0.011418418027460575
,,,0.05,,,280000,7113.0,549.8,14374,0.00025,0.02258056029677391
1300,5963.84,546.54,0.05,94,3145,297440,,,15464,0.00025,0.05721281096339226
,,,0.05,,,320000,4233.0,606.8,16874,0.00025,0.01113071572035551
1400,5703.15,548.01,0.05,95,3471,330980,,,17561,0.00025,0.017407694831490517
,,,0.05,,,360000,3531.4,594.2,19374,0.00025,0.02036513015627861
1500,5417.2,560.55,0.05,94,3886,366552,,,19784,0.00025,0.030989674851298332
,,,0.05,,,400000,6410.2,614.4,21874,0.00025,0.022617246955633163
1600,5515.14,574.8,0.05,92,4358,403620,,,22101,0.00025,0.012908543460071087
